"country_profiles_og.country","Region","population","pop_dens","gdp","gdp_growth","gdp_xcap","eco_agri","eco_industry","eco_services","empl_agri","empl_industry","empl_services","pop_growth","urban_pop","educ_exp"
"Tuvalu","Polynesia",11,373.1,33,3.5,3362.4,26,7.6,66.4,26.73,17.303,58.346,0.9,59.7,5.224
"Uganda","EasternAfrica",42863,214.5,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,3.4,16.1,2.2
"Ukraine","EasternEurope",44223,76.3,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,-0.5,69.7,5.9
"United Arab Emirates","WesternAsia",9400,112.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,2,85.5,4.569
"United Kingdom","NorthernEurope",66182,273.6,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,0.6,82.6,5.7
"United Republic of Tanzania","EasternAfrica",57310,64.7,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,3.1,31.6,3.5
"United States of America","NorthernAmerica",324460,35.5,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,0.7,81.6,5.4
"United States Virgin Islands","Caribbean",105,299.7,147346.26,2.248,14842.026,4,26.048,69.939,10.9,24,65.2,-0.2,95.3,4.772
"Uruguay","SouthAmerica",3457,19.8,53442,1,15573.8,6.8,28,65.2,8.7,20.5,70.8,0.3,95.3,4.4
"Uzbekistan","CentralAsia",31911,75,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,1.6,36.4,4.604
"Vanuatu","Melanesia",276,22.7,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,2.3,26.1,5.5
"Venezuela (Bolivarian Republic of)","SouthAmerica",31977,36.3,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,1.4,89,4.748
"Viet Nam","South-easternAsia",95541,308.1,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,1.1,33.6,5.7
"Wallis and Futuna Islands","Polynesia",12,84.1,84000.57,3.307,19166.908,5.528,25.909,69.541,11.716,21.558,67.394,-2.1,0,4.243
"Western Sahara","NorthernAfrica",553,2.1,202170.06,2.051,6387.013,9.897,35.128,55.803,37.4,27.9,34.7,1.8,80.9,4.999
"Yemen","WesternAsia",28250,53.5,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,2.6,34.6,3.939
"Zambia","EasternAfrica",17094,23,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,3,40.9,5.083
"Zimbabwe","EasternAfrica",16530,42.7,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,2.3,32.4,8.4
